0
1|农、林、牧、渔业
2|采矿业
3|制造业
4|电力、燃气及水的生产和供应业 
5|建筑业 
6|交通运输、仓储和邮政业 
7|信息传输、计算机服务和软件业 
8|批发和零售业 
9|住宿和餐饮业 
10|金融业 
11|房地产业 
12|租赁和商务服务业 
13|科学研究、技术服务和地质勘查业 
14|水利、环境和公共设施管理业 
15|居民服务和其他服务业教育 
16|卫生、社会保障和社会福利业 
17|文化、体育和娱乐业 
18|公共管理和社会组织 
19|国际组织
20|其它
